"","Station_Number","Multinet_Number","Date","Start_Latitude","Start_Longitude","End_Latitude","End_Longitude"
"1","3","4","19-Sep",44.9052666666667,-66.7803666666667,44.8888333333333,-66.7880833333333
"2","4","5","19-Sep",44.8728666666667,-66.7943666666667,44.8671333333333,-66.8070833333333
"3","5","6","20-Sep",44.84035,-66.7975,44.8455666666667,-66.79335
"4","6","7","20-Sep",44.8622166666667,-66.7783333333333,44.8703166666667,-66.7566666666667
"5","7","9","20-Sep",44.8854333333333,-66.7694666666667,44.8917,-66.76195
"6","6","10","20-Sep",44.8614666666667,-66.7783666666667,44.8722833333333,-66.8320166666667
"7","8","11","21-Sep",44.6867666666667,-66.4857666666667,44.69755,-66.48475
"8","9","12","21-Sep",44.7279166666667,-66.47725,44.73725,-66.4789
"9","9","13","21-Sep",44.7283666666667,-66.4769833333333,44.7373666666667,-66.47825
"10","10","14","21-Sep",44.76535,-66.47115,44.77455,-66.4772166666667
"11","11","15","24-Sep",44.6772666666667,-66.4895166666667,44.6664166666667,-66.4725666666667
"12","12","16","24-Sep",44.689,-66.4823166666667,44.7052,-66.4823333333333
"13","13","17","24-Sep",44.7468166666667,-66.4790166666667,44.7633,-66.4714333333333
"14","14","18","24-Sep",44.7787166666667,-66.4776333333333,44.7738666666667,-66.4772
"15","15","19","25-Sep",44.67395,-66.4913833333333,44.68455,-66.4904666666667
"16","16","20","25-Sep",44.6857,-66.4899,44.7002666666667,-66.4936166666667
"17","17","21","25-Sep",44.7058166666667,-66.49395,44.7214,-66.4942666666667
"18","18","22","26-Sep",44.8924166666667,-66.7793833333333,44.8832333333333,-66.7890833333333
"19","19","23","26-Sep",44.86995,-66.7943833333333,44.8599166666667,-66.7962
"20","20","24","26-Sep",44.84835,-66.8038,44.8390833333333,-66.8005666666667
"21","21","25","26-Sep",44.87265,-66.7923333333333,44.8659166666667,-66.7942
"22","22","26","26-Sep",44.87225,-66.7926833333333,44.8664833333333,-66.7924666666667
